brand,count,percentage,registeredUsers
Xiaomi,11926334,0.25441289809538475,46877867
Samsung,9609401,0.204988017052909,46877867
Vivo,5894293,0.1257372269092363,46877867
Oppo,4479351,0.09555364368434255,46877867
Realme,2376866,0.05070337351313361,46877867
Apple,1825153,0.03893421601285741,46877867
Motorola,1593250,0.033987254582210406,46877867
OnePlus,1536418,0.03277491273227086,46877867
Lenovo,1246507,0.026590522986039446,46877867
Huawei,808774,0.01725279010668297,46877867
Others,5581520,0.1190651443249327,46877867
Xiaomi,16416511,0.25792532028069054,63648311
Samsung,12943051,0.2033526231355927,63648311
Vivo,8365074,0.13142648828497586,63648311
Oppo,6246581,0.09814213294678001,63648311
Realme,3165738,0.04973797340828102,63648311
Apple,2326897,0.03655866060609212,63648311
Motorola,2099718,0.03298937500478214,63648311
OnePlus,1890141,0.029696640339757014,63648311
Lenovo,1627153,0.025564747507596863,63648311
Huawei,1104740,0.017356941333447166,63648311
Others,7462707,0.11724909715200456,63648311
Xiaomi,20859459,0.2607075466368654,80010952
Samsung,16228372,0.20282688299971735,80010952
Vivo,11118842,0.13896650048608344,80010952
Oppo,8103650,0.10128175952712073,80010952
Realme,3962596,0.04952566993578579,80010952
Apple,2774989,0.034682614450081785,80010952
Motorola,2529272,0.03161157237574176,80010952
OnePlus,2231557,0.027890644270799327,80010952
Lenovo,1857680,0.023217821480239355,80010952
Huawei,1444125,0.018049091579362787,80010952
Others,8900410,0.11123989625820226,80010952
Xiaomi,26709586,0.2611876516661043,102262055
Samsung,20740259,0.2028148075060686,102262055
Vivo,14966905,0.14635834376690357,102262055
Oppo,10754040,0.10516158706178944,102262055
Realme,4997725,0.04887174426526046,102262055
Apple,3435529,0.03359534482267152,102262055
Motorola,3089947,0.030215968180964094,102262055
OnePlus,2668868,0.026098321611080475,102262055
Lenovo,2257295,0.022073632296945332,102262055
Huawei,1899667,0.01857646025204559,102262055
Others,10742234,0.10504613857016662,102262055
